Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1961","1961","ha","23880","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1962","1962","ha","23795","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1963","1963","ha","22580","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1964","1964","ha","22780","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1965","1965","ha","21530","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1966","1966","ha","21245","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1967","1967","ha","23350","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1968","1968","ha","23710","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1969","1969","ha","24080","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1970","1970","ha","23750","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1971","1971","ha","24850","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1972","1972","ha","26260","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1973","1973","ha","27520","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1974","1974","ha","30550","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1975","1975","ha","31320","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1976","1976","ha","31970","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1977","1977","ha","31605","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1978","1978","ha","31810","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1979","1979","ha","31650","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1980","1980","ha","32330","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1981","1981","ha","33260","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1982","1982","ha","34560","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1983","1983","ha","32820","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1984","1984","ha","31040","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1985","1985","ha","29671","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1986","1986","ha","29178","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1987","1987","ha","28570","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1988","1988","ha","28940","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1989","1989","ha","28530","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1990","1990","ha","28328","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1991","1991","ha","27640","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1992","1992","ha","27720","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1993","1993","ha","27923","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1994","1994","ha","25500","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1995","1995","ha","25450","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1996","1996","ha","25615","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1997","1997","ha","25900","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1998","1998","ha","26470","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","1999","1999","ha","26021","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2000","2000","ha","26060","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2001","2001","ha","26507","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2002","2002","ha","26345","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2003","2003","ha","25010","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2004","2004","ha","24200","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2005","2005","ha","23674","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2006","2006","ha","23269","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2007","2007","ha","24484","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2008","2008","ha","23876","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2009","2009","ha","23876","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2010","2010","ha","23067","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2011","2011","ha","22460","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2012","2012","ha","21853","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2013","2013","ha","21853","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2014","2014","ha","21974","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2015","2015","ha","22380","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2016","2016","ha","22060","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2017","2017","ha","21970","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2018","2018","ha","21970","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2019","2019","ha","22784","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2020","2020","ha","23189","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01322","Lemons and limes","2021","2021","ha","23189","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1961","1961","hg/ha","211563","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1962","1962","hg/ha","247851","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1963","1963","hg/ha","204772","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1964","1964","hg/ha","295532","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1965","1965","hg/ha","237056","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1966","1966","hg/ha","262978","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1967","1967","hg/ha","270942","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1968","1968","hg/ha","256008","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1969","1969","hg/ha","236884","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1970","1970","hg/ha","230542","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1971","1971","hg/ha","241051","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1972","1972","hg/ha","234167","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1973","1973","hg/ha","292592","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1974","1974","hg/ha","213329","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1975","1975","hg/ha","336340","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1976","1976","hg/ha","202321","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1977","1977","hg/ha","295074","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1978","1978","hg/ha","287754","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1979","1979","hg/ha","221852","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1980","1980","hg/ha","233743","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1981","1981","hg/ha","337396","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1982","1982","hg/ha","260920","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1983","1983","hg/ha","283333","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1984","1984","hg/ha","251933","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1985","1985","hg/ha","317684","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1986","1986","hg/ha","238783","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1987","1987","hg/ha","365159","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1988","1988","hg/ha","263943","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1989","1989","hg/ha","258833","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1990","1990","hg/ha","249153","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1991","1991","hg/ha","256983","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1992","1992","hg/ha","273593","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1993","1993","hg/ha","320345","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1994","1994","hg/ha","353255","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1995","1995","hg/ha","323301","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1996","1996","hg/ha","356276","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1997","1997","hg/ha","341853","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1998","1998","hg/ha","313940","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","1999","1999","hg/ha","260432","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2000","2000","hg/ha","292417","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2001","2001","hg/ha","344637","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2002","2002","hg/ha","278232","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2003","2003","hg/ha","372160","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2004","2004","hg/ha","299146","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2005","2005","hg/ha","333383","A","Official figure"
